graph_index,label
31,4
242,3
541,1
376,1
16,4
93,1
346,3
488,1
226,4
532,3
73,3
244,2
199,1
194,5
457,0
177,3
547,5
361,4
38,0
505,5
563,5
417,2
366,1
356,0
172,0
515,0
371,1
387,4
597,1
27,4
176,0
501,0
549,3
19,2
333,0
508,1
395,3
314,4
233,0
265,0
270,3
373,4
330,3
348,0
582,2
427,3
289,1
398,0
181,0
155,5
564,5
4,1
312,4
109,4
466,4
195,1
533,5
163,1
385,2
231,4
459,5
266,1
413,0
349,4
92,4
472,0
318,2
578,4
524,3
230,0
369,1
377,3
279,1
422,0
12,2
246,1
245,5
54,3
79,5
517,5
284,5
426,1
359,0
520,3
49,3
68,0
253,1
441,1
87,3
197,3
261,5
342,5
458,4
156,0
518,1
189,4
22,0
509,3
238,1
131,2
499,4
449,5
30,2
302,0
259,5
23,5
276,0
538,4
404,1
35,2
102,4
439,3
100,4
85,3
311,4
543,5
423,3
148,5
519,2
579,5
116,4
391,3
596,3
326,5
237,0
202,2
382,2
594,2
555,5
208,0
51,0
138,2
263,5
10,5
516,5
136,2
542,0
26,0
337,1
504,2
137,5
118,5
317,0
323,5
456,5
559,4
303,1
510,2
465,4
213,4
448,0
435,2
425,2
227,1
514,2
351,5
367,4
264,2
390,2
528,3
203,3
285,2
63,2
207,5
47,4
474,2
180,4
184,5
134,1
412,1
166,1
121,2
140,3
254,2
442,4
6,3
316,1
158,4
257,0
157,2
581,2
185,1
258,2
143,0
186,2
354,1
374,4
357,0
48,0
490,3
497,2
322,3
587,0
126,2
103,3
560,5
503,4
198,4
481,4
598,2
320,0
325,2
296,3
24,4
62,0
71,1
37,5
588,4
70,4
39,4
262,1
0,0
568,5
416,5
331,4
168,3
50,1
565,1
389,0
595,4
315,2
464,4
477,4
491,4
589,5
99,4
403,1
41,2
544,5
106,0
299,5
287,4
535,0
548,2
273,4
243,3
498,3
574,0
494,3
309,1
480,3
241,4
218,5
383,1
584,5
113,3
468,1
82,3
150,5
384,0
124,4
44,3
562,4
502,4
478,4
108,3
408,2
188,2
500,1
364,5
402,1
561,4
399,4
13,5
298,1
365,0
290,1
540,1
411,4
127,2
240,2
5,5
268,1
300,3
191,3
352,0
120,3
56,3
96,4
280,1
182,3
60,5
576,0
216,4
8,2
347,2
381,4
552,5
65,1
61,5
222,3
577,0
511,2
43,2
3,5
141,5
21,5
224,1
586,3
375,4
67,0
546,0
145,5
52,1
277,1
84,5
479,2
583,5
392,2
46,1
215,2
247,0
437,0
66,0
420,0
421,0
179,5
445,4
447,4
211,2
123,5
250,2
455,3
536,5
98,1
122,0
353,1
42,0
72,1
239,2
368,3
569,1
432,2
164,3
234,5
9,1
539,0
297,2
15,5
355,5
232,0
554,0
90,5
294,4
217,2
388,1
493,1
461,0
451,2
175,5
492,0
450,3
221,1
308,0
506,4
196,1
161,1
386,2
119,5
205,1
132,3
328,2
305,0
570,3
460,3
475,2
147,4
252,3
88,4
522,3
370,5
288,4
171,4
414,0
590,2
2,2
405,0
396,1
40,5
75,2
170,0
476,5
358,2
434,3
487,2
135,3
545,0
531,5
225,2
527,4
393,3
525,1
28,3
125,5
394,3
36,0
183,3
192,2
360,0
17,1
419,0
255,2
206,2
438,3
29,3
530,1
142,4
485,0
482,0
344,3
471,3
269,3
453,4
571,5
53,0
235,0
209,5
20,2
446,2
335,4
114,2
428,5
462,1
407,1
430,2
324,1
301,2
57,1
115,4
74,3
473,1
210,3
454,0
321,4
248,3
272,0
32,1
339,3
223,3
110,2
97,5
236,3
18,4
336,3
267,5
160,5
329,2
149,4
111,4
293,5
162,2
409,3
484,1
572,2
59,1
513,5
201,2
14,1
470,1
33,1
173,1
363,0
433,4
278,1
429,0
144,4
128,3
95,5
174,5
319,3
249,0
112,2
566,3
599,5
130,3
133,4
406,4
567,5
200,0
