label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
2,0.26482322812080383,0.3331190049648285,0.0,0.3502626419067383,0.0,0.0,0.0,0.0,0.39113396406173706,0.17185761034488678,0.0,0.0,0.0,0.1703956425189972,0.2631836235523224,0.09817159920930862,0.37956926226615906,0.0,0.373607337474823,0.2841186821460724,0.06560194492340088,0.0,0.0,0.37170112133026123,0.0,0.0,0.36058080196380615,0.0,0.29073429107666016,0.0,0.1052280068397522,0.0,0.0,0.28017112612724304,0.0,0.0,0.3332333266735077,0.0,0.0,0.24969002604484558,0.0,0.3812592625617981,0.3443343937397003,0.2515845000743866,0.310320645570755,0.04185405746102333,0.0,0.0,0.3662707507610321,0.0,0.014915121719241142,0.05761268362402916,0.0,0.31572994589805603,0.3459823727607727,0.0,0.0,0.0,0.0,0.0,0.16851602494716644,0.0,0.0,0.0
0,0.2867662012577057,0.2471933662891388,0.0,0.06921570748090744,0.0,0.13274629414081573,0.0,0.0,0.2561367452144623,0.0,0.0,0.0,0.0,0.3400285243988037,0.265668123960495,0.4142902195453644,0.11718712747097015,0.0,0.10573329031467438,0.19427523016929626,0.3742509186267853,0.0,0.07012400776147842,0.2761969268321991,0.0,0.0,0.2529461085796356,0.0,0.289387971162796,0.0,0.4464060664176941,0.0,0.0,0.010849772952497005,0.0,0.03966504707932472,0.23625613749027252,0.0,0.0,0.2343243509531021,0.0,0.15328313410282135,0.26626524329185486,0.22696290910243988,0.2796477973461151,0.40546971559524536,0.0,0.0,0.2541913688182831,0.0,0.4087114930152893,0.39113837480545044,0.0,0.3263983428478241,0.2572949230670929,0.0,0.0,0.0,0.0,0.0,0.33393576741218567,0.0,0.3604433238506317,0.0
1,0.2867662012577057,0.2471933662891388,0.0,0.06921570748090744,0.0,0.13274629414081573,0.0,0.0,0.2561367452144623,0.0,0.0,0.0,0.0,0.3400285243988037,0.265668123960495,0.4142902195453644,0.11718712747097015,0.0,0.10573329031467438,0.19427523016929626,0.3742509186267853,0.0,0.07012400776147842,0.2761969268321991,0.0,0.0,0.2529461085796356,0.0,0.289387971162796,0.0,0.4464060664176941,0.0,0.0,0.010849772952497005,0.0,0.03966504707932472,0.23625613749027252,0.0,0.0,0.2343243509531021,0.0,0.15328313410282135,0.26626524329185486,0.22696290910243988,0.2796477973461151,0.40546971559524536,0.0,0.0,0.2541913688182831,0.0,0.4087114930152893,0.39113837480545044,0.0,0.3263983428478241,0.2572949230670929,0.0,0.0,0.0,0.0,0.0,0.33393576741218567,0.0,0.3604433238506317,0.0
1,0.29482683539390564,0.1970187872648239,0.012146729044616222,0.08244586735963821,0.012565787881612778,0.47364410758018494,0.0,0.0,0.1767340898513794,0.09714844822883606,0.0,0.0,0.0,0.4535173177719116,0.2669095993041992,0.6411585211753845,0.08880939334630966,0.0,0.08503987640142441,0.1428104043006897,0.5955209136009216,0.0,0.3805314600467682,0.2183166742324829,0.0,0.0,0.18820254504680634,0.0,0.2902088165283203,0.0,0.6964624524116516,0.0,0.0,0.07702875137329102,0.0,0.3667006492614746,0.18079455196857452,0.0,0.0,0.22659051418304443,0.0,0.09333866834640503,0.22023624181747437,0.2112785130739212,0.259225457906723,0.672264039516449,0.0,0.0,0.19233150780200958,0.0,0.7057257294654846,0.6380904316902161,0.038889285176992416,0.3359226882457733,0.20797400176525116,0.0,0.0,0.0,0.010529651306569576,0.0,0.44759926199913025,0.0,0.6967602372169495,0.025141261518001556
0,0.30534979701042175,0.15276800096035004,0.0,0.03384933993220329,0.0,0.6179506778717041,0.0,0.0,0.1073310524225235,0.012986759655177593,0.0,0.0,0.0,0.5240660309791565,0.26804208755493164,0.7562363743782043,0.04011162742972374,0.0,0.03707525506615639,0.0945693850517273,0.7053337097167969,0.0,0.5113008618354797,0.16877126693725586,0.0,0.0,0.13166819512844086,0.0,0.28977301716804504,0.0,0.8171257972717285,0.0,0.0,0.02995547465980053,0.0,0.5006123185157776,0.1309511810541153,0.0,0.0,0.219036266207695,0.0,0.04113725200295448,0.1796199083328247,0.19860120117664337,0.24295899271965027,0.7978301644325256,0.0,0.0,0.1352142095565796,0.0,0.8378816843032837,0.7538227438926697,0.0,0.3418537676334381,0.1632022112607956,0.0,0.0,0.0,0.0,0.0,0.5158421993255615,0.0,0.840511679649353,0.0
2,0.27608558535575867,0.2908494174480438,0.0,0.2108675092458725,0.0,0.0,0.0,0.0,0.32464340329170227,0.0,0.0,0.0,0.0,0.25418809056282043,0.26445746421813965,0.2542043626308441,0.24959804117679596,0.0,0.24086116254329681,0.24047443270683289,0.2185363620519638,0.0,0.0,0.32484912872314453,0.0,0.0,0.3079462945461273,0.0,0.28994235396385193,0.0,0.27405598759651184,0.0,0.0,0.14725524187088013,0.0,0.0,0.2853875458240509,0.0,0.0,0.24191150069236755,0.0,0.2684567868709564,0.3060179650783539,0.23956741392612457,0.2955033481121063,0.22166255116462708,0.0,0.0,0.31073692440986633,0.0,0.20934592187404633,0.22241199016571045,0.0,0.32072845101356506,0.30189502239227295,0.0,0.0,0.0,0.0,0.0,0.24997103214263916,0.0,0.135400652885437,0.0
2,0.27608558535575867,0.2908494174480438,0.0,0.2108675092458725,0.0,0.0,0.0,0.0,0.32464340329170227,0.0,0.0,0.0,0.0,0.25418809056282043,0.26445746421813965,0.2542043626308441,0.24959804117679596,0.0,0.24086116254329681,0.24047443270683289,0.2185363620519638,0.0,0.0,0.32484912872314453,0.0,0.0,0.3079462945461273,0.0,0.28994235396385193,0.0,0.27405598759651184,0.0,0.0,0.14725524187088013,0.0,0.0,0.2853875458240509,0.0,0.0,0.24191150069236755,0.0,0.2684567868709564,0.3060179650783539,0.23956741392612457,0.2955033481121063,0.22166255116462708,0.0,0.0,0.31073692440986633,0.0,0.20934592187404633,0.22241199016571045,0.0,0.32072845101356506,0.30189502239227295,0.0,0.0,0.0,0.0,0.0,0.24997103214263916,0.0,0.135400652885437,0.0
2,0.2525925934314728,0.3744781017303467,0.0,0.4891861081123352,0.0,0.0,0.0,0.0,0.4567182660102844,0.38791415095329285,0.0,0.0,0.0,0.08735547214746475,0.2617395222187042,0.0,0.509036660194397,0.0,0.5049246549606323,0.32371750473976135,0.0,0.0,0.0,0.41710853576660156,0.0,0.0,0.411132276058197,0.0,0.29123595356941223,0.0,0.0,0.0,0.0,0.41209131479263306,0.0,0.0,0.38017722964286804,0.0,0.0,0.2579455077648163,0.0,0.4935585856437683,0.3815629780292511,0.2632436156272888,0.324018269777298,0.0,0.0,0.0,0.4210699200630188,0.0,0.0,0.0,0.0,0.3109723925590515,0.3902952969074249,0.0,0.0,0.0,0.0,0.0,0.08857990801334381,0.0,0.0,0.0
0,0.0,0.0,10.446412086486816,0.0,8.688138008117676,0.0,9.814902305603027,9.948031425476074,0.0,7.357726097106934,9.606698989868164,12.14475154876709,12.039186477661133,0.0,0.0,0.0,0.0,9.38745403289795,0.0,0.0,0.0,9.776693344116211,1.9932405948638916,0.0,9.48376178741455,9.864280700683594,0.0,8.78296184539795,0.0,11.01526165008545,0.0,3.2361302375793457,9.641022682189941,0.0,11.134188652038574,0.0,0.0,9.35303783416748,10.13537311553955,0.0,11.392921447753906,0.0,0.0,0.0,0.0,0.0,9.310465812683105,7.4667863845825195,0.0,10.260071754455566,0.0,0.0,13.845497131347656,0.0,0.0,9.0856351852417,10.407875061035156,10.993491172790527,12.6378755569458,10.774574279785156,0.0,9.6319580078125,0.0,13.116426467895508
2,0.16920728981494904,0.4954594671726227,0.23437215387821198,0.9881772994995117,0.32152092456817627,0.017249513417482376,0.053164176642894745,0.0,0.6588163375854492,1.085866928100586,0.0,0.10948127508163452,0.0,0.08582118898630142,0.253435343503952,0.04666898027062416,0.9238240718841553,0.029686421155929565,0.9618669748306274,0.3988601863384247,0.03235747292637825,0.011800725013017654,0.012751644477248192,0.5263264775276184,0.03628362715244293,0.0,0.5434780120849609,0.0,0.3045564591884613,0.0014722823398187757,0.04973597452044487,0.0,0.0,0.8395439982414246,0.04057043418288231,0.018445031717419624,0.5321562886238098,0.06456317752599716,0.0,0.29835596680641174,0.0,0.8933340907096863,0.4862096905708313,0.28902730345726013,0.34454572200775146,0.037375275045633316,0.0,0.11439347267150879,0.6154102683067322,0.0,0.040551599115133286,0.03831438720226288,0.5033054351806641,0.311613529920578,0.5461474657058716,0.0,0.0,0.0,0.24783064424991608,0.0,0.09768936783075333,0.0,0.03079310618340969,0.3428720533847809
2,0.2777741551399231,0.26341116428375244,0.03704037517309189,0.18877634406089783,0.04239624738693237,0.20410330593585968,0.004100141581147909,0.0,0.2811369299888611,0.14879173040390015,0.0,0.018656067550182343,0.0,0.34884876012802124,0.2650230824947357,0.4392050802707672,0.21491867303848267,0.0,0.21036739647388458,0.21193188428878784,0.39710533618927,0.0,0.15654794871807098,0.29198843240737915,0.0,0.0,0.2714182436466217,0.0,0.2915687561035156,0.0,0.4790804088115692,0.0,0.0,0.14367429912090302,0.000366845924872905,0.1493089497089386,0.25587862730026245,0.004801882430911064,0.0,0.23842382431030273,0.0,0.22744515538215637,0.2804476320743561,0.23034685850143433,0.2829674482345581,0.43837058544158936,0.0,0.008959107100963593,0.27929648756980896,0.0,0.45161184668540955,0.4241630434989929,0.07854104042053223,0.3277590870857239,0.2764758765697479,0.0,0.0,0.0,0.03325933963060379,0.0,0.34556150436401367,0.0,0.40600818395614624,0.056827645748853683
