graph_index,label
949,0
1280,1
1443,1
943,2
129,2
539,0
347,0
962,1
955,0
559,2
813,2
64,1
1408,0
1400,1
623,2
1149,0
850,1
1261,0
637,1
1474,1
1463,1
942,1
579,1
318,2
383,0
1162,2
745,1
1488,1
144,1
825,2
225,1
339,2
1342,0
491,1
1327,0
1378,0
985,1
1336,2
889,0
15,2
256,1
786,1
1210,0
502,1
965,1
300,2
1250,0
7,1
1419,1
406,2
959,1
652,2
984,0
168,1
171,0
423,0
1428,0
826,1
192,0
338,1
983,0
1024,1
120,2
688,1
323,2
1078,1
1066,2
389,1
553,0
753,2
903,0
790,2
993,0
1374,1
1330,0
1049,2
894,2
1204,2
522,1
292,1
789,1
634,2
1061,1
470,0
755,1
526,2
1159,2
91,0
1005,1
1324,0
1377,0
619,0
465,1
1401,0
947,0
1080,2
1460,0
47,0
1164,2
128,2
1001,1
123,2
193,0
967,2
521,0
107,2
743,2
1198,1
1245,0
827,1
574,0
721,0
919,2
399,2
1483,0
1106,1
441,1
997,2
488,0
908,2
222,2
40,2
411,1
53,1
42,2
661,2
1230,2
132,2
566,0
390,2
78,1
334,2
695,1
335,1
1047,0
697,1
1471,2
710,0
111,1
931,1
1069,2
1344,2
1265,0
36,1
1175,1
1067,1
267,0
303,1
859,0
945,0
525,0
1361,2
817,0
1444,0
1453,0
867,2
1277,1
65,0
30,0
164,0
617,0
320,2
621,0
994,0
326,0
872,1
1392,1
1233,2
452,2
394,0
730,0
1287,1
768,1
378,2
1310,0
555,2
1354,2
937,1
1316,0
731,2
1065,1
493,1
906,0
1115,0
563,0
1472,2
424,0
587,1
638,2
1031,0
1397,1
1478,1
668,2
177,0
264,2
204,1
601,1
809,2
972,1
1124,1
1454,2
41,2
632,1
1412,2
1375,2
1103,0
538,2
1359,1
1157,2
259,1
1170,1
432,0
60,2
1003,2
622,0
1495,2
958,2
494,0
355,0
750,1
1255,2
1122,2
1329,0
1199,2
1155,2
1267,1
1121,2
797,0
1489,0
1402,1
10,1
1076,2
373,0
910,2
734,1
1288,1
131,2
670,2
814,2
940,0
1254,2
150,0
1346,1
467,2
666,2
1063,2
18,1
523,0
1045,1
1366,0
1410,1
1145,0
798,1
1221,2
301,0
866,2
848,0
173,1
232,2
1036,0
457,0
183,1
427,0
425,1
333,1
682,0
723,2
1082,1
500,0
1234,2
266,2
68,0
1113,1
1135,2
480,0
857,2
1016,0
294,0
1252,0
386,2
198,1
706,0
122,2
1099,1
1062,0
520,0
125,2
999,0
655,2
1417,0
681,1
934,1
1273,0
922,2
1321,1
547,2
1040,2
989,1
1187,2
769,2
501,2
899,1
397,1
365,2
45,1
1173,0
1237,1
1383,0
407,2
536,2
1493,1
14,1
606,2
61,1
998,2
227,0
381,0
1143,0
718,2
882,0
990,2
108,2
686,1
1476,0
732,2
282,2
1002,0
1,0
654,2
870,1
583,1
821,0
89,0
875,1
152,2
1192,2
787,1
1020,2
568,1
1247,1
748,0
537,2
724,2
1228,0
289,2
1300,2
505,2
1313,0
1060,2
1086,1
856,1
818,0
758,1
901,2
880,0
1322,1
490,0
570,1
392,2
393,1
715,1
1092,0
550,1
1435,2
377,2
1422,1
759,0
1450,0
1105,0
556,0
1107,1
1015,0
689,1
1309,0
163,0
747,1
1340,1
147,1
247,1
1152,2
694,1
685,1
1109,0
360,2
299,2
1023,2
251,1
893,1
80,0
815,1
1257,0
1070,1
1213,0
463,2
905,0
1194,2
582,2
868,0
771,2
364,1
400,2
631,0
977,1
687,0
315,1
1073,0
607,2
1284,1
980,2
1050,2
325,1
178,1
1232,2
1437,0
179,1
657,1
584,1
1225,2
642,1
479,2
643,0
12,0
969,0
430,1
1350,1
861,2
1301,2
451,1
1008,2
273,2
263,0
450,1
1371,2
1285,1
98,0
498,1
996,2
673,1
1186,0
55,2
517,1
1487,0
328,1
206,1
1462,0
1195,2
114,2
1077,2
1432,2
93,2
0,2
869,0
810,0
77,2
1459,2
245,1
436,1
838,1
591,1
145,1
412,2
307,2
269,2
1189,2
26,0
1420,2
863,1
690,1
711,1
593,0
1343,2
751,0
155,0
1039,1
100,2
1498,2
52,1
1347,2
210,2
1217,2
113,1
246,0
546,2
881,0
833,0
1482,2
1452,0
1353,2
1424,1
1074,2
297,1
803,1
1218,0
737,0
979,2
510,0
1399,0
783,2
59,0
1027,0
341,0
1154,0
924,2
1200,1
909,0
446,0
968,0
471,0
162,2
1315,0
862,2
1469,1
117,1
760,2
1396,1
981,1
599,2
1095,2
43,2
231,1
1486,1
713,0
356,1
1025,1
464,0
1146,0
1091,0
1197,2
414,1
986,0
806,0
1226,0
1421,2
1236,1
1193,0
255,2
780,1
362,2
831,2
1114,0
62,1
329,2
876,1
1144,2
704,0
1379,1
735,0
1018,1
726,0
1297,1
1150,1
597,1
1222,0
679,2
1014,2
271,1
469,2
702,1
603,0
552,1
395,0
740,1
361,0
462,0
209,2
954,1
1110,2
449,2
261,1
354,2
248,0
519,1
371,1
728,2
793,0
195,2
1386,0
1219,0
367,1
1393,1
434,2
116,1
1208,2
1243,2
1433,1
948,2
551,0
847,0
1364,1
143,0
1457,1
877,1
346,0
845,2
27,2
142,2
95,2
418,2
892,1
585,2
929,1
873,2
242,0
86,0
766,2
1163,0
1029,1
4,1
96,1
322,2
216,0
2,1
602,0
92,1
805,1
11,0
1108,1
1365,0
391,0
1461,0
509,0
1207,0
146,2
1333,0
201,2
1325,0
1054,1
1169,1
675,1
946,2
287,1
290,0
1098,1
56,0
408,0
422,1
1116,0
506,1
447,2
640,2
663,0
1337,0
1295,0
565,1
900,1
907,2
1439,0
133,0
888,0
366,2
596,1
370,1
887,1
691,0
375,1
1202,1
1484,1
800,1
749,2
153,0
987,1
167,0
660,2
8,2
277,1
240,0
1411,1
995,1
1266,2
970,0
616,2
1440,1
1449,2
588,2
819,2
913,0
1496,0
29,2
917,2
1097,0
1044,1
1384,0
516,1
473,0
196,0
478,0
1358,1
233,2
75,1
703,2
185,0
575,2
57,2
419,0
475,1
676,1
628,1
1251,0
224,2
44,2
988,2
1153,0
832,0
794,1
1416,0
811,0
1215,1
1205,1
262,0
765,0
841,0
1058,1
199,1
1021,1
135,1
1131,2
327,2
878,2
935,2
1326,1
159,2
9,2
1467,2
1338,1
1368,2
1051,2
426,0
1286,1
324,2
842,2
1214,0
1179,0
1140,1
340,1
1446,0
51,2
1270,1
816,2
1380,2
258,2
1312,0
126,1
1468,2
316,2
6,1
890,1
442,1
134,2
76,2
1088,1
158,0
530,0
285,0
306,0
744,1
298,1
1305,2
957,1
72,0
401,0
1445,0
978,2
772,1
648,1
1081,0
172,1
33,1
672,0
951,2
1426,0
1056,1
961,2
1442,1
649,1
288,2
739,0
241,1
84,0
982,2
1057,0
791,0
1303,1
1282,2
788,0
281,0
804,0
722,1
202,0
357,2
157,0
234,2
684,0
217,0
533,2
693,0
351,1
127,0
1148,0
67,0
25,1
186,1
920,0
540,0
636,1
1278,2
590,1
483,1
387,2
1430,0
184,0
611,0
319,0
1241,2
712,0
17,1
507,1
1028,1
1007,0
1413,0
175,0
871,1
950,1
112,1
569,1
545,1
218,1
807,1
781,2
1293,1
260,2
535,0
1480,1
207,2
963,1
1096,2
618,0
1118,2
799,2
567,0
1283,2
94,2
492,1
960,1
1004,0
212,1
630,0
305,1
754,2
720,0
736,2
1308,1
415,2
37,1
664,0
613,1
1289,0
32,1
1436,2
773,0
782,2
1306,2
1132,0
221,2
1334,1
22,1
971,2
380,1
342,1
886,0
345,1
1448,0
1043,0
118,1
472,0
855,0
1299,2
1151,1
528,2
1071,1
851,0
858,1
644,2
358,0
1126,0
884,0
444,1
1466,2
1010,1
671,2
374,1
181,2
729,0
1451,0
576,2
437,2
604,0
548,2
275,0
283,1
16,2
85,0
705,2
314,0
1184,2
1390,1
1348,2
1387,1
1032,0
1053,2
403,1
645,2
1352,0
272,2
762,1
1473,1
1176,1
382,1
237,0
1048,1
19,0
1123,0
639,1
598,2
1290,2
1238,1
1035,0
620,2
915,2
1084,2
719,2
268,0
795,0
1212,2
1345,2
571,2
1298,2
1041,2
23,2
66,0
254,1
249,2
286,1
1085,2
176,2
541,0
1172,2
166,2
1492,2
738,2
518,0
74,1
1158,0
136,1
1339,0
524,2
674,0
608,2
1427,0
700,0
484,2
956,2
573,1
321,2
531,0
1102,1
1479,1
921,0
223,2
476,0
698,1
914,0
633,1
203,2
13,2
1216,0
1128,2
236,0
544,0
402,1
1006,1
930,1
1271,0
1182,0
647,2
440,0
109,1
309,2
229,2
302,2
1382,1
291,2
63,1
853,1
1227,0
1475,1
1262,0
1275,1
1414,1
820,1
474,0
953,1
110,1
487,0
1362,2
105,0
3,2
1447,1
82,2
776,0
1190,0
1075,0
513,0
1055,2
1307,2
295,1
495,1
904,2
1203,2
614,1
170,1
1244,0
1497,0
119,2
239,2
1026,1
1178,2
1038,0
349,2
658,0
90,2
923,1
1367,2
1403,0
898,1
1188,1
605,2
35,2
1456,0
865,0
421,2
1441,0
1423,0
384,0
1127,0
586,2
991,1
1120,0
549,1
1166,1
140,0
103,0
933,0
557,2
1335,0
284,0
1314,1
1388,1
1101,2
928,2
683,0
453,1
1079,0
1302,2
1246,2
1220,1
1034,0
1181,2
1455,1
1341,2
5,0
653,0
1357,1
761,2
554,1
485,0
104,0
226,1
253,0
332,2
610,2
115,2
455,0
1331,2
1253,0
219,2
238,1
353,0
504,0
891,1
296,1
215,0
514,0
1240,0
1431,1
1291,2
1142,0
512,0
311,0
834,2
911,2
846,2
279,2
1465,2
641,1
182,0
828,1
1064,2
1087,1
952,2
497,2
409,2
1209,2
410,0
1438,1
1134,1
1373,1
1491,0
208,0
925,1
1090,2
578,1
742,2
1349,2
1201,1
46,1
1111,2
774,1
874,2
1276,0
966,0
1042,2
448,0
808,1
34,0
148,0
274,0
1165,1
1249,0
964,2
843,2
1059,0
669,2
461,2
680,2
1133,0
626,0
609,1
1281,0
83,2
1223,2
902,2
468,1
73,2
396,0
429,0
1425,1
1136,1
1481,1
1279,2
368,2
860,0
1356,1
265,0
97,1
250,0
154,0
1372,0
81,1
190,2
1415,1
31,0
1395,1
200,0
785,1
454,1
331,0
431,2
844,1
304,2
1490,0
1011,2
725,1
165,1
792,2
717,2
612,1
932,1
278,1
39,1
562,2
1196,2
49,1
1434,2
508,2
310,0
213,1
350,0
854,0
830,1
1391,2
